Ranked Lawyers,57,Arbitration (International),80,Europe-wide,269510,Jean-Christophe Honlet,Band 5,2,111
Ranked Lawyers,57,Arbitration (International),80,Europe-wide,510502,Barton Legum,Band 2,2,111
Ranked Lawyers,57,Arbitration (International),15649,Global-wide,510502,Barton Legum,Band 3,2,111
Ranked Lawyers,159,Aviation: Finance,15649,Global-wide,1846,Nick Chandler,Band 4,2,111
Ranked Lawyers,159,Aviation: Finance,15649,Global-wide,192347,Serge Sergiou,Band 4,2,111
Ranked Lawyers,6,Banking & Finance,54,Central & Eastern Europe,524828,Mateusz Toczyski,Band 3,2,111
Ranked Lawyers,6,Banking & Finance,69,Czech Republic,303319,Daniel Hurych,Band 2,2,111
Ranked Lawyers,6,Banking & Finance,69,Czech Republic,354721,Jiří Tomola,Band 2,2,111
Ranked Lawyers,6,Banking & Finance,74,Egypt,251009,Frédérique Léger,Band 3,2,111
Ranked Lawyers,6,Banking & Finance,86,France,580892,Jean-Marc Allix,Band 4,2,111
Ranked Lawyers,6,Banking & Finance,86,France,291133,Philippe Max,Band 4,2,111
Ranked Lawyers,6,Banking & Finance,108,Hungary,176490,Gergely Horváth,Band 1,2,111
Ranked Lawyers,6,Banking & Finance,117,Italy,352405,Alessandro Fosco Fagotto,Band 3,2,111
Ranked Lawyers,6,Banking & Finance,173,Poland,634846,Agnieszka Lipska,Up and Coming,2,111
Ranked Lawyers,6,Banking & Finance,173,Poland,524828,Mateusz Toczyski,Foreign expert for Central & Eastern Europe,2,111
Ranked Lawyers,6,Banking & Finance,179,Romania,332578,Magdalena Raducanu,Band 4,2,111
Ranked Lawyers,6,Banking & Finance,179,Romania,331258,Perry V Zizzi,Band 3,2,111
Ranked Lawyers,6,Banking & Finance,180,Russia,23799,Timothy Stubbs,Band 4,2,111
Ranked Lawyers,6,Banking & Finance,180,Russia,245726,Logan Wright,Expertise based abroad in UK,2,111
Ranked Lawyers,6,Banking & Finance,189,Slovakia,545521,Peter Kubina,Band 1,2,111
Ranked Lawyers,6,Banking & Finance,189,Slovakia,362444,Stanislava Valientová,Band 2,2,111
Ranked Lawyers,6,Banking & Finance,194,Spain,420934,Jabier Badiola,Band 4,2,111
