Ranked Departments,6,Banking & Finance,16083,Africa-wide,Band 4,2,111
Ranked Departments,354,Corporate/M&A,16083,Africa-wide,Band 3,2,111
Ranked Departments,467,Dispute Resolution,16083,Africa-wide,Band 4,2,111
Ranked Departments,996,Projects & Energy,16083,Africa-wide,Band 3,2,111
Ranked Departments,24,Energy & Natural Resources,16084,Asia-Pacific Region,Recognised Practitioner,2,111
Ranked Departments,1486,Banking & Finance: Corporate Finance,23,Australia,Band 4,2,111
Ranked Departments,1483,Banking & Finance: Property Finance,23,Australia,Band 3,2,111
Ranked Departments,354,Corporate/M&A,23,Australia,Recognised Practitioner,2,111
Ranked Departments,467,Dispute Resolution,23,Australia,Recognised Practitioner,2,111
Ranked Departments,24,Energy & Natural Resources,23,Australia,Band 5,2,111
Ranked Departments,852,General Business Law,25,Azerbaijan,Band 1,2,111
Ranked Departments,852,General Business Law,30,Barbados,Recognised Practitioner,2,111
Ranked Departments,6,Banking & Finance,54,Central & Eastern Europe,Band 2,2,111
Ranked Departments,354,Corporate/M&A,54,Central & Eastern Europe,Band 2,2,111
Ranked Departments,996,Projects & Energy,54,Central & Eastern Europe,Band 2,2,111
Ranked Departments,6,Banking & Finance,69,Czech Republic,Band 1,2,111
Ranked Departments,6,Banking & Finance,74,Egypt,Band 3,2,111
Ranked Departments,354,Corporate/M&A,74,Egypt,Band 4,2,111
Ranked Departments,852,General Business Law,76,Equatorial Guinea,Band 1,2,111
Ranked Departments,57,Arbitration (International),80,Europe-wide,Band 4,2,111
Ranked Departments,6,Banking & Finance,80,Europe-wide,Band 5,2,111
Ranked Departments,354,Corporate/M&A,80,Europe-wide,Band 5,2,111
Ranked Departments,1113,Data Protection,80,Europe-wide,Band 3,2,111
Ranked Departments,467,Dispute Resolution,80,Europe-wide,Band 4,2,111
Ranked Departments,455,International Trade/WTO,80,Europe-wide,Band 2,2,111
Ranked Departments,376,Life Sciences,80,Europe-wide,Recognised Practitioner,2,111
Ranked Departments,996,Projects & Energy,80,Europe-wide,Band 3,2,111
Ranked Departments,32,Restructuring/Insolvency,80,Europe-wide,Band 4,2,111
